model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	online	2021-06-27T14:09Z	2021-06-27T19:16Z	307		offline 15:52 to 16:14
alice_kosmos	online	2021-06-28T21:54Z	2021-06-29T05:01Z	427		
alice_kosmos	online	2021-06-29T20:54Z	2021-06-30T03:52Z	418		
alice_kosmos	online	2021-07-01T22:03Z	2021-07-02T05:10Z	427	1	
alice_kosmos	online	2021-07-02T21:00Z	2021-07-03T05:40Z	520		
alice_kosmos	online	2021-07-03T23:03Z	2021-07-04T07:49Z	526		
alice_kosmos	online	2021-07-05T22:15Z	2021-07-06T05:22Z	427	1	
alice_kosmos	online	2021-07-07T21:00Z	2021-07-08T06:52Z	592	1	
alice_kosmos	online	2021-07-09T22:42Z	2021-07-10T02:22Z	220	1	
alice_kosmos	online	2021-07-12T20:57Z	2021-07-13T07:01Z	604	2	
alice_kosmos	online	2021-07-13T21:42Z	2021-07-14T05:01Z	439		
alice_kosmos	online	2021-07-14T23:48Z	2021-07-15T05:46Z	358		
alice_kosmos	online	2021-07-15T22:33Z	2021-07-16T07:49Z	556		
alice_kosmos	online	2021-07-16T21:30Z	2021-07-17T04:43Z	433		
alice_kosmos	online	2021-07-19T23:30Z	2021-07-20T05:52Z	382	2	
alice_kosmos	online	2021-07-21T00:00Z	2021-07-21T08:46Z	526		offline 05:14 to 06:17
alice_kosmos	online	2021-07-22T00:06Z	2021-07-22T04:37Z	271		
alice_kosmos	online	2021-07-23T00:39Z	2021-07-23T09:22Z	523		offline 05:19 to 05:56
alice_kosmos	online	2021-07-23T22:27Z	2021-07-24T06:28Z	481		
alice_kosmos	online	2021-07-25T00:03Z	2021-07-25T09:25Z	562		
alice_kosmos	online	2021-07-26T00:39Z	2021-07-26T06:25Z	346		
alice_kosmos	online	2021-07-27T00:00Z	2021-07-27T07:46Z	466		
alice_kosmos	online	2021-07-27T22:36Z	2021-07-28T06:10Z	454		
alice_kosmos	online	2021-07-28T23:12Z	2021-07-29T08:31Z	559		
alice_kosmos	online	2021-07-31T00:12Z	2021-07-31T07:01Z	409		
alice_kosmos	online	2021-08-04T01:09Z	2021-08-04T07:43Z	394	3	
alice_kosmos	online	2021-08-05T02:33Z	2021-08-05T08:55Z	382		
alice_kosmos	online	2021-08-06T01:27Z	2021-08-06T09:58Z	511		
alice_kosmos	online	2021-08-07T01:33Z	2021-08-07T10:04Z	511		
alice_kosmos	online	2021-08-08T22:57Z	2021-08-09T09:01Z	604	1	
alice_kosmos	online	2021-08-09T23:21Z	2021-08-10T07:40Z	499		
alice_kosmos	online	2021-08-10T21:18Z	2021-08-11T06:07Z	529		
alice_kosmos	online	2021-08-12T21:24Z	2021-08-13T05:34Z	490	1	
alice_kosmos	online	2021-08-13T21:39Z	2021-08-14T05:13Z	454		
alice_kosmos	online	2021-08-14T22:27Z	2021-08-15T07:34Z	547		
alice_kosmos	online	2021-08-18T02:36Z	2021-08-18T08:28Z	352	2	
alice_kosmos	online	2021-08-19T03:12Z	2021-08-19T10:16Z	424		
alice_kosmos	online	2021-08-24T05:12Z	2021-08-24T11:10Z	358	4	
alice_kosmos	online	2021-08-25T06:27Z	2021-08-25T12:40Z	373		
alice_kosmos	online	2021-08-26T11:15Z	2021-08-26T18:58Z	463		
alice_kosmos	online	2021-08-28T17:15Z	2021-08-29T02:31Z	556	1	
alice_kosmos	online	2021-09-01T16:57Z	2021-09-02T04:01Z	664	3	
alice_kosmos	online	2021-09-03T20:18Z	2021-09-04T04:25Z	487	1	
alice_kosmos	online	2021-09-04T19:57Z	2021-09-05T03:55Z	478		
alice_kosmos	online	2021-09-05T19:42Z	2021-09-06T02:16Z	394		
alice_kosmos	online	2021-09-08T19:12Z	2021-09-09T05:22Z	610	2	
alice_kosmos	online	2021-09-09T19:54Z	2021-09-10T05:13Z	559		
alice_kosmos	online	2021-09-10T23:42Z	2021-09-11T05:49Z	367		
alice_kosmos	online	2021-09-11T20:54Z	2021-09-12T03:46Z	412		offline 01:16 to 02:14
alice_kosmos	online	2021-09-12T22:51Z	2021-09-13T00:58Z	127		
alice_kosmos	online	2021-09-13T22:03Z	2021-09-14T05:19Z	436		
alice_kosmos	online	2021-09-15T00:12Z	2021-09-15T05:54Z	342		
alice_kosmos	online	2021-09-15T21:45Z	2021-09-16T08:46Z	661		
alice_kosmos	online	2021-09-16T22:15Z	2021-09-17T09:07Z	652		offline 04:58 to 05:41
alice_kosmos	online	2021-09-17T22:27Z	2021-09-18T06:37Z	490		
alice_kosmos	online	2021-09-18T22:15Z	2021-09-19T04:55Z	400		
alice_kosmos	online	2021-09-19T23:24Z	2021-09-20T03:49Z	265		
alice_kosmos	online	2021-09-20T23:45Z	2021-09-21T08:39Z	534		
alice_kosmos	online	2021-09-22T23:27Z	2021-09-23T10:07Z	640	1	offline 06:25 to 07:17
alice_kosmos	online	2021-09-23T23:39Z	2021-09-24T10:19Z	640		offline 03:46 to 04:11
alice_kosmos	online	2021-09-25T00:33Z	2021-09-25T07:52Z	439		
alice_kosmos	online	2021-09-25T21:54Z	2021-09-26T09:25Z	691		
alice_kosmos	online	2021-09-26T22:06Z	2021-09-27T04:07Z	361		
alice_kosmos	online	2021-09-28T22:45Z	2021-09-29T09:55Z	670	1	
alice_kosmos	online	2021-10-04T01:39Z	2021-10-04T09:07Z	448	4	
alice_kosmos	online	2021-10-08T03:09Z	2021-10-08T11:25Z	496	3	
alice_kosmos	online	2021-10-13T03:54Z	2021-10-13T05:22Z	88	4	
alice_kosmos	online	2021-10-13T23:30Z	2021-10-14T06:58Z	448		
alice_kosmos	online	2021-10-14T23:21Z	2021-10-15T06:49Z	448		
alice_kosmos	online	2021-10-16T00:15Z	2021-10-16T08:28Z	493		
alice_kosmos	online	2021-10-17T22:54Z	2021-10-18T08:37Z	583	1	
alice_kosmos	online	2021-10-19T00:03Z	2021-10-19T08:01Z	478		
alice_kosmos	online	2021-10-21T01:36Z	2021-10-21T06:10Z	274	1	
alice_kosmos	online	2021-10-25T04:00Z	2021-10-25T09:25Z	325	3	
alice_kosmos	online	2021-10-26T22:03Z	2021-10-27T00:55Z	172	1	
alice_kosmos	online	2021-10-30T20:27Z	2021-10-31T02:55Z	388	3	
alice_kosmos	online	2021-11-02T00:15Z	2021-11-02T06:16Z	361	1	
alice_kosmos	online	2021-11-03T22:48Z	2021-11-04T04:37Z	349	1	
alice_kosmos	online	2021-11-08T21:54Z	2021-11-09T05:10Z	436	4	
alice_kosmos	online	2021-11-11T22:57Z	2021-11-12T06:49Z	472	2	
alice_kosmos	online	2021-11-13T21:57Z	2021-11-14T05:01Z	424	1	
