model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	private	2022-08-14T04:50Z	2022-08-14T06:07Z	77		
alice_kosmos	private	2022-08-15T03:11Z	2022-08-15T03:21Z	10		
alice_kosmos	private	2022-08-15T04:55Z	2022-08-15T05:10Z	15		
alice_kosmos	private	2022-08-23T01:07Z	2022-08-23T01:22Z	15		
alice_kosmos	private	2022-08-24T00:00Z	2022-08-24T00:25Z	25		
alice_kosmos	private	2022-09-01T01:28Z	2022-09-01T01:40Z	12		
alice_kosmos	private	2022-09-02T07:25Z	2022-09-02T08:01Z	36		
alice_kosmos	private	2022-09-02T08:49Z	2022-09-02T09:25Z	36		
alice_kosmos	private	2022-09-04T00:55Z	2022-09-04T01:05Z	10		
alice_kosmos	private	2022-09-08T23:01Z	2022-09-08T23:28Z	27		
alice_kosmos	private	2022-09-09T02:22Z	2022-09-09T02:58Z	36		
alice_kosmos	private	2022-09-19T04:25Z	2022-09-19T05:04Z	39		
alice_kosmos	private	2022-09-22T23:31Z	2022-09-22T23:52Z	21		
alice_kosmos	private	2022-09-23T01:07Z	2022-09-23T01:34Z	27		
alice_kosmos	private	2022-09-24T21:49Z	2022-09-24T22:13Z	24		
alice_kosmos	private	2022-09-25T00:58Z	2022-09-25T01:08Z	10		
alice_kosmos	private	2022-09-25T01:28Z	2022-09-25T01:52Z	24		
alice_kosmos	private	2022-09-25T19:43Z	2022-09-25T20:04Z	21		
alice_kosmos	private	2022-09-26T23:28Z	2022-09-26T23:49Z	21		
alice_kosmos	private	2022-09-27T04:46Z	2022-09-27T05:05Z	19		
alice_kosmos	private	2022-09-27T01:25Z	2022-09-27T01:46Z	21		
alice_kosmos	private	2022-09-27T04:13Z	2022-09-27T04:37Z	24		
alice_kosmos	private	2022-10-01T00:07Z	2022-10-01T00:49Z	42		
alice_kosmos	private	2022-10-02T05:40Z	2022-10-02T06:01Z	21		
alice_kosmos	private	2022-10-07T01:43Z	2022-10-07T01:55Z	12		
alice_kosmos	private	2022-10-07T05:13Z	2022-10-07T05:58Z	45		
alice_kosmos	private	2022-10-08T01:34Z	2022-10-08T01:58Z	24		
alice_kosmos	private	2022-10-08T04:28Z	2022-10-08T04:49Z	21		
alice_kosmos	private	2022-10-09T01:40Z	2022-10-09T01:50Z	10		
alice_kosmos	private	2022-10-09T03:49Z	2022-10-09T04:10Z	21		
alice_kosmos	private	2022-10-11T02:43Z	2022-10-11T02:55Z	12		
alice_kosmos	private	2022-10-11T05:01Z	2022-10-11T05:28Z	27		
alice_kosmos	private	2022-10-13T08:04Z	2022-10-13T08:28Z	24		
alice_kosmos	private	2022-10-16T08:13Z	2022-10-16T08:34Z	21		
alice_kosmos	private	2022-11-05T00:07Z	2022-11-05T00:19Z	12		
alice_kosmos	private	2022-11-06T00:01Z	2022-11-06T01:02Z	61		
alice_kosmos	private	2022-11-06T02:37Z	2022-11-06T04:19Z	102		
alice_kosmos	private	2022-11-10T04:34Z	2022-11-10T05:04Z	30		
alice_kosmos	private	2022-11-14T04:16Z	2022-11-14T04:40Z	24		
alice_kosmos	private	2022-11-20T06:31Z	2022-11-20T07:01Z	30		
alice_kosmos	private	2022-11-24T00:37Z	2022-11-24T00:49Z	12		
alice_kosmos	private	2022-11-24T06:46Z	2022-11-24T07:16Z	30		
alice_kosmos	private	2022-11-27T03:49Z	2022-11-27T04:01Z	12		
alice_kosmos	private	2022-12-03T04:58Z	2022-12-03T05:46Z	48		
alice_kosmos	private	2022-12-09T21:49Z	2022-12-09T22:01Z	12		
alice_kosmos	private	2022-12-10T00:52Z	2022-12-10T01:04Z	12		
alice_kosmos	private	2022-12-10T05:16Z	2022-12-10T05:52Z	36		
alice_kosmos	private	2022-12-10T22:34Z	2022-12-10T22:46Z	12		
alice_kosmos	private	2022-12-14T00:40Z	2022-12-14T00:55Z	15		
alice_kosmos	private	2022-12-22T23:13Z	2022-12-23T00:25Z	72		
alice_kosmos	private	2022-12-23T01:52Z	2022-12-23T02:04Z	12		
alice_kosmos	private	2022-12-23T04:40Z	2022-12-23T05:01Z	21		
alice_kosmos	private	2022-12-25T04:22Z	2022-12-25T04:43Z	21		
alice_kosmos	private	2022-12-25T05:01Z	2022-12-25T05:31Z	30		
alice_kosmos	private	2023-01-05T22:43Z	2023-01-05T23:10Z	27		
alice_kosmos	private	2023-01-06T23:07Z	2023-01-06T23:12Z	5		
alice_kosmos	private	2023-01-20T02:01Z	2023-01-20T03:19Z	78		
alice_kosmos	private	2023-01-21T01:13Z	2023-01-21T01:46Z	33		
alice_kosmos	private	2023-01-22T02:22Z	2023-01-22T02:37Z	15		
alice_kosmos	private	2023-01-22T02:46Z	2023-01-22T03:43Z	57		
alice_kosmos	private	2023-01-23T22:16Z	2023-01-23T22:28Z	12		
alice_kosmos	private	2023-01-24T00:10Z	2023-01-24T00:25Z	15		
